strain,time,protein_desc,area_mean,area_sd,peps_per_rep,org,org_area,ecoli_area,area_norm,b_rep
11-42,1m,YP_003044020.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044023.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044024.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044071.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044074.1,5512840.375,9548519.62351706,1.0,ecoli,390421754431.3482,390421754431.3482,1.4120218231767047e-5,1.0
11-42,1m,YP_003044100.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044103.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044105.1,1289738.2291666667,1128459.1662215895,1.0,ecoli,390421754431.3482,390421754431.3482,3.3034486796084882e-6,1.0
11-42,1m,YP_003044106.1,162612875.8268229,63719615.23100323,2.0,ecoli,390421754431.3482,390421754431.3482,4.165056736238215e-4,1.0
11-42,1m,YP_003044110.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044115.1,137300024.66666666,76953763.0359288,1.0,ecoli,390421754431.3482,390421754431.3482,3.5167104063308415e-4,1.0
11-42,1m,YP_003044124.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044125.1,963334433.25,406517635.6175384,2.0,ecoli,390421754431.3482,390421754431.3482,0.002467419969087283,1.0
11-42,1m,YP_003044125.1; YP_003046166.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044127.1,59025388.75,21960737.710046276,1.0,ecoli,390421754431.3482,390421754431.3482,1.5118365736553502e-4,1.0
11-42,1m,YP_003044129.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044131.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044132.1,26288014.229166668,9257117.886423877,1.0,ecoli,390421754431.3482,390421754431.3482,6.73323500311998e-5,1.0
11-42,1m,YP_003044133.1,6916113781.154514,3162893000.2964196,3.0,ecoli,390421754431.3482,390421754431.3482,0.017714468270928905,1.0
11-42,1m,YP_003044134.1,261095129.77083334,44103289.36714166,1.0,ecoli,390421754431.3482,390421754431.3482,6.687514894018139e-4,1.0
11-42,1m,YP_003044136.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044140.1,11535864.291666666,11222643.34154657,1.0,ecoli,390421754431.3482,390421754431.3482,2.9547186243422133e-5,1.0
11-42,1m,YP_003044145.1,22804421.416666668,32232338.924338214,1.0,ecoli,390421754431.3482,390421754431.3482,5.840970990430965e-5,1.0
11-42,1m,YP_003044146.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044149.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044150.1,72912360.20833333,9853073.40479434,1.0,ecoli,390421754431.3482,390421754431.3482,1.8675281123750557e-4,1.0
11-42,1m,YP_003044151.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044152.1,393372461.5,206967367.61112905,3.0,ecoli,390421754431.3482,390421754431.3482,0.0010075577424545656,1.0
11-42,1m,YP_003044154.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044167.1,11969313.052083334,4242519.749467384,1.0,ecoli,390421754431.3482,390421754431.3482,3.06573927201283e-5,1.0
11-42,1m,YP_003044170.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044171.1,0.0,0.0,0.0,ecoli,390421754431.3482,390421754431.3482,0.0,1.0
11-42,1m,YP_003044176.1,1633598232.2708333,607273384.1562928,1.0,ecoli,390421754431.3482,390421754431.3482,0.004184188544130128,1.0
