target_id	length	eff_length	est_counts	tpm
U00096.3|b0166|AAC73277.1|CDS|dapD	825	646	441	30.2015
U00096.3|b0167|AAC73278.1|CDS|glnD	2673	2494	168	2.98013
U00096.3|b0168|AAC73279.1|CDS|map	795	616	541	38.8543
U00096.3|b0169|AAC73280.1|CDS|rpsB	726	547	10518	850.683
U00096.3|b0170|AAC73281.1|CDS|tsf	852	673	6135	403.294
U00096.3|b0171|AAC73282.1|CDS|pyrH	726	547	849	68.6661
U00096.3|b0172|AAC73283.1|CDS|frr	558	379	1460	170.426
U00096.3|b0173|AAC73284.1|CDS|dxr	1197	1018	236	10.2562
U00096.3|b0174|AAC73285.1|CDS|ispU	762	583	426	32.3268
U00096.3|b0175|AAC73286.2|CDS|cdsA	858	679	323	21.0453
U00096.3|b0176|AAC73287.1|CDS|rseP	1353	1174	789	29.7325
U00096.3|b0177|AAC73288.1|CDS|bamA	2433	2254	2261	44.3781
U00096.3|b0178|AAC73289.1|CDS|skp	486	307	797	114.853
U00096.3|b0179|AAC73290.1|CDS|lpxD	1026	847	1626	84.9296
U00096.3|b0180|AAC73291.1|CDS|fabZ	456	277	650	103.814
U00096.3|b0181|AAC73292.1|CDS|lpxA	789	610	823	59.6887
U00096.3|b0182|AAC73293.1|CDS|lpxB	1149	970	434	19.7943
U00096.3|b0183|AAC73294.1|CDS|rnhB	597	418	159	16.8284
U00096.3|b0184|AAC73295.1|CDS|dnaE	3483	3304	1119	14.9835
U00096.3|b0185|AAC73296.1|CDS|accA	960	781	819	46.3933
U00096.3|b0186|AAC73297.1|CDS|ldcC	2142	1963	57	1.28463
U00096.3|b0187|AAC73298.2|CDS|yaeR	390	211	8	1.67737
U00096.3|b0188|AAC73299.1|CDS|tilS	1299	1120	114	4.50307
U00096.3|b0189|AAC73300.2|CDS|rof	255	76.0064	19	11.0592
U00096.3|b4406|AAT48124.1|CDS|yaeP	201	27.2129	19	30.8888
U00096.3|b0190|AAC73301.1|CDS|yaeQ	546	367	56	6.75063
U00096.3|b0191|AAC73302.1|CDS|arfB	423	244	31	5.62075
U00096.3|b0192|AAC73303.1|CDS|nlpE	711	532	56	4.65692
